Ticker,Company,Thesis,Direction
AAPL,Apple Inc,Strong services growth and new AI feature rollout in iOS 18.,LONG
MSFT,Microsoft Corp,Dominance in enterprise AI and Azure cloud computing expansion.,LONG
GOOGL,Alphabet Inc,Advertising monopoly and deep investments in generative AI models.,LONG
AMZN,Amazon.com Inc,AWS profitability and expanding e-commerce margins.,LONG
NVDA,NVIDIA Corp,Unprecedented demand for datacenter GPUs driving AI revolution.,LONG
META,Meta Platforms Inc,Rebounding ad revenue and efficiency in reality labs spending.,LONG
TSLA,Tesla Inc,Full Self-Driving advancements and Cybertruck production scaling.,LONG
BRK.B,Berkshire Hathaway,Strong cash position and value investing principles in a volatile market.,LONG
LLY,Eli Lilly and Co,Explosive growth in GLP-1 weight loss drugs Mounjaro and Zepbound.,LONG
AVGO,Broadcom Inc,Custom AI silicon demand and successful VMware integration.,LONG
JPM,JPMorgan Chase & Co,Benefiting from higher interest rates and strong consumer spending.,LONG
V,Visa Inc,Steady transaction volume growth across global travel and e-commerce.,LONG
UNH,UnitedHealth Group,Market leadership in healthcare services and value-based care.,LONG
XOM,Exxon Mobil Corp,Strong free cash flow from robust oil prices and Guyana assets.,LONG
MA,Mastercard Inc,Resilient consumer spending and cross-border payment recovery.,LONG
JNJ,Johnson & Johnson,Stable dividend growth and focus on innovative pharmaceuticals.,LONG
PG,Procter & Gamble,Pricing power and strong brand loyalty in consumer staples.,LONG
HD,Home Depot Inc,Long-term housing shortage driving sustained home improvement demand.,LONG
COST,Costco Wholesale,Incredible member retention and steady subscription revenue growth.,LONG
MRK,Merck & Co,Keytruda dominance in oncology and a strong pipeline of new drugs.,LONG
ABBV,AbbVie Inc,Successfully navigating Humira patent cliff with Skyrizi and Rinvoq.,LONG
CRM,Salesforce Inc,Improving operating margins and integrating AI into the Data Cloud.,LONG
AMD,Advanced Micro Devices,Taking server CPU market share and ramping up MI300 AI chips.,LONG
CVX,Chevron Corp,Disciplined capital spending and strong shareholder returns via dividends.,LONG
NFLX,Netflix Inc,Successful password sharing crackdown and ad-tier subscriber growth.,LONG
PEP,PepsiCo Inc,Strong pricing power and diversified snack and beverage portfolio.,LONG
KO,Coca-Cola Co,Global brand dominance and consistent dividend aristocrat status.,LONG
WMT,Walmart Inc,Gaining market share in grocery and growing high-margin advertising business.,LONG
TMO,Thermo Fisher Scientific,Essential supplier to life sciences and biotech research industries.,LONG
MCD,McDonald's Corp,Resilient fast-food demand and highly profitable franchise model.,LONG
CSCO,Cisco Systems Inc,Transitioning to software revenue and Splunk acquisition synergies.,LONG
INTC,Intel Corp,Turnaround strategy relies on foundry business and new process nodes.,LONG
IBM,International Business Machines,Focus on hybrid cloud and enterprise AI consulting services.,LONG
QCOM,Qualcomm Inc,Recovery in smartphone market and expansion into automotive chips.,LONG
TXN,Texas Instruments,Analog chip demand recovery and strong free cash flow generation.,LONG
NKE,NIKE Inc,Direct-to-consumer strategy and strong brand presence in global sports.,LONG
DIS,Walt Disney Co,Streaming profitability turnaround and strong parks revenue.,LONG
ADBE,Adobe Inc,Integrating Firefly generative AI directly into creative cloud suite.,LONG
INTU,Intuit Inc,Dominance in tax software and small business accounting ecosystem.,LONG
AMAT,Applied Materials,Essential equipment provider for global semiconductor manufacturing.,LONG
CAT,Caterpillar Inc,Benefiting from global infrastructure spending and mining demand.,LONG
BA,Boeing Co,Recovering commercial airplane deliveries despite ongoing quality issues.,LONG
GE,General Electric,Successful split into aerospace focus driving significant margin expansion.,LONG
UBER,Uber Technologies,Achieving GAAP profitability and dominating mobility and delivery.,LONG
ABNB,Airbnb Inc,Strong travel demand and expanding experiences platform.,LONG
NOW,ServiceNow Inc,High enterprise retention and workflow automation demand.,LONG
SBUX,Starbucks Corp,Loyalty program growth and international expansion in China.,LONG
PFE,Pfizer Inc,Reinvesting COVID windfall into a robust oncology acquisition strategy.,LONG
LMT,Lockheed Martin,Steady defense contracts and global geopolitical tensions driving demand.,LONG
AXP,American Express,Strong millennial customer acquisition and premium card fee growth.,LONG
